Text,Confidence
5267290,0.98
4339 Andrew Forges Apt.495 900 Stanton Row,0.96
Tanner Lamb,0.89
27.03.2020,0.99
8213026685,0.99
robertschristine@blackwell.com,0.97
Arthur Brady,0.98
SACN450134,1.00
482.180.0676x405,0.98
bryanharrington@wagner.net,0.98
58%,0.88
categories/app/blog/search/posts/tag/list/main/wp-content/posts/wp-content/wp-content/wp-content,0.94
Powers-Anthony,0.97
Education Management,0.97
MM01S1002501,0.96
978-1-72306-020-5,0.92
11.12.2020,0.99
Uploadwit rroot ould ett fro this ile the syst mont peforms an tomatic instance rovery,0.70
Woodborough,0.91
SNS-WBWS-203616270-7834-7791-0,0.97
Eric Ways Fields Joann Keys,0.88
95:8952:5966:993,0.97
category/posts/tag/tags/app/category/category/tag/app/tag/wp-content/tag/posts/tag/wp-content/posts/blog,0.99
1-64484-141-X1-4324-5366-1,0.94
disintermediate proactive convergence,0.98
63384f3081c525f7a0973c3b3ced4897Tokelau,0.99
Raymond Glenn,0.97
543183,0.99
63117 Alicia Pass New Justinstad NM24220,0.84
27.10.2019,0.98
+1-109-519-1774969,0.97
Melissa Herman,0.98
QLZR537373,0.99
desktop-51.ware-cunningham-4668-89db-37faa5f9ccca,0.97
186-880-3702,0.93
carrie17@woods.com,0.99
sandersbrendan@avila.com,0.95
48%,0.99
list/categories/list/wp-content/explore/search/explore/search/category/categories/explore/categories/posts,0.95
Morales-Shaffer,0.95
Human Resources,0.96
978-1-4956-3695-0,0.97
78676129,0.99
267,1.00
MM01S1002502,0.96
Idaho 16,0.88
13.06.2020,0.99
Uplod wth errhis fie i shrele thgh me  fes may be niale to th si f thi dataet.,0.67
Padillafurt,0.95
Madison Divide Turnpike Shawna Crest,0.98
SNS-UGHY-866703221-82712-063-0,0.98
1-67446-614-50-7640-6534-3,0.97
47:9366:4748:377,0.95
app/search/list/wp-content/app/tag/tags/tag/list/tags/posts/tags/explore/tags/app/tag/tags,0.99
5173920,0.99
49251 Mendez Wall 166 Kline Key,0.93
monetize best-of-breed solutions,0.98
fdf113e3c8807e9f92a4787b7f001ce1Myanmar,0.98
Lisa Martinez DDS,0.93
21.09.2019,0.99
melinda95@sanders.org,0.99
001-231-983-988152722,0.98
laptop-68.chen-49a9-9d39-5248eb0522df,0.99
188265-5628x6454,0.98
search/main/explore/blog/category/categories/blog/search/tags/posts/wp-content/blog/explor,0.98
Teresa Waters,0.90
HWDZ839127,0.99
Gomez-Hobbs,0.98
tmarquez@howard.org,1.00
Computer Software,0.90
77%,0.69
MM01S1002503,0.93
978-1-76158-858-7,0.97
Hawaii15,0.91
"Uploaded with error, Excel files greater than 100mB may only be downloaded.",0.87
Robertside,0.96
Green Flats Common Hayley Spurs,0.97
SNS-ZEYT-298837571-81699-002-724.08.2020,0.96
0-663-65200-61-77481-795-0,0.93
app/main/blog/tag/tag/search/category/category/tags/list/category/wp-content/tag/wp-content/app/tag/blog,0.99
32:2604:8033:939,0.96
3753389,0.99
2723 Smith Crest Apt.002ParkerburyND 30597,0.95
empower revolutionary models,0.95
fd25fee2b3c7b78cd8113332ef50da7bHait,0.98
9867031983,0.99
Susan Humphrey,0.97
24.05.2019,0.99
gturner@booker.com,0.78
Colton Farley,0.98
SXMR655436,0.98
srv-84.lucero-walls-48a2-8cac-8d79beed3cb6,0.97
870316-039637072,0.99
pattersonpriscilla@allen-arnold.com,0.99
Online Media,0.98
69%,0.99
explore/tags/tag/tags/wp-content/main/wp-content/posts/blog/tags/categories/search/explore,0.99
Wallace Gomez and Silva,0.87
978-1-5349-9224-5,0.96
85458,1.00
63,0.84
MM01S1002504,0.97
North Carolina 37NC,0.80
Stevenland,0.97
24.07.2020,0.99
"Uploaded with error,This fil is shareable though some advanced features may be unavailable due to the size of this dataset",0.90
Scott Crossroad Freeway Rasmussen Light,0.97
SNS-FWNT-527731150-913573-67-1,0.93
41:3412:3690:238,0.92
category/main/blog/main/app/category/list/list/wp-content/tags/app/blog/wp-content/wp-content/blog/tag/search,0.97
1-80000-970-40-636-62470-6,0.96
morph visionary interfaces,0.96
4fe9516a1cc7d2f8b26591949d7b04b0Indonesia,0.99
